STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GIN,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Guinea,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,79.0,109.0,88.0,102.0,109.0,107.0,99.0,100.0,113.0,86.0,86.0,102.0,102.0,108.0,101.0,104.0,107.0,110.0,109.0,84.0,85.0,78.0,103.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ARE,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,United Arab Emirates,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,122.0,137.0,100.0,77.0,65.0,69.0,86.0,87.0,112.0,114.0,118.0,120.0,119.0,119.0,128.0,133.0,131.0,131.0,138.0,145.0,160.0,164.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,IRN,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,"Iran, Islamic Rep.",Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,122.0,160.0,158.0,164.0,162.0,166.0,166.0,172.0,175.0,175.0,174.0,173.0,173.0,169.0,165.0,164.0,170.0,173.0,174.0,178.0,177.0,176.0,176.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LBN,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Lebanon,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,56.0,106.0,87.0,108.0,107.0,98.0,66.0,61.0,78.0,93.0,101.0,106.0,98.0,98.0,99.0,100.0,101.0,102.0,107.0,130.0,119.0,140.0,132.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,HTI,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Haiti,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,106.0,100.0,125.0,117.0,87.0,75.0,73.0,57.0,56.0,52.0,49.0,47.0,53.0,53.0,53.0,60.0,62.0,83.0,87.0,70.0,99.0,93.0,111.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,WSM,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Samoa,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,111.0,56.0,48.0,40.0,40.0,29.0,21.0,22.0,22.0,21.0,21.0,45.0,19.0,22.0,44.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,XKX,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Kosovo,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,56.0,75.0,99.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BLZ,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Belize,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,29.0,30.0,36.0,41.0,47.0,53.0,53.0,53.0,47.0,51.0,54.0,47.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CHE,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Switzerland,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,15.0,12.0,1.0,1.0,9.0,11.0,7.0,7.0,6.0,8.0,14.0,15.0,20.0,7.0,7.0,5.0,6.0,8.0,10.0,14.0,12.0,9.0,9.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SCG,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Serbia and Montenegro,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,85.0,77.0,65.0,48.0,,,,,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BOL,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Bolivia,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,48.0,51.0,76.0,45.0,17.0,68.0,115.0,95.0,103.0,108.0,109.0,94.0,94.0,97.0,107.0,110.0,113.0,114.0,110.0,126.0,117.0,124.0,93.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,RUS,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Russian Federation,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,121.0,148.0,140.0,138.0,147.0,144.0,141.0,153.0,140.0,142.0,148.0,148.0,152.0,148.0,148.0,148.0,149.0,149.0,150.0,155.0,164.0,162.0,171.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,IND,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,India,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,80.0,128.0,120.0,106.0,105.0,120.0,118.0,105.0,122.0,131.0,140.0,140.0,136.0,133.0,136.0,138.0,140.0,142.0,142.0,150.0,161.0,159.0,151.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LBY,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Libya,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,129.0,153.0,154.0,162.0,152.0,155.0,160.0,156.0,160.0,155.0,131.0,137.0,154.0,164.0,163.0,162.0,162.0,164.0,165.0,143.0,149.0,143.0,137.0
